IP地址,端口号,TLS,网络延迟,下载速度,出站IP,IP类型,数据中心,源IP位置,地区,城市,ASN号码,ASN组织
154.64.236.54,443,true,133ms,14.38MB/s,154.64.236.54,IPv4,LAX,US,North America,Los Angeles,AS979,NetLab Global
179.253.236.110,443,true,136ms,12.60MB/s,2605:52c0:2:423f:be24:11ff:fe77:9c3c,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.255.124.36,443,true,134ms,11.74MB/s,2605:52c0:2:c42:be24:11ff:fe7d:1a63,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
154.23.163.15,443,true,136ms,0.46MB/s,154.23.163.15,IPv4,LAX,US,North America,Los Angeles,AS8796,FASTNET DATA INC
179.255.101.56,443,true,137ms,未测速,2605:52c0:2:5a2d:be24:11ff:fe56:caab,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.255.100.186,443,true,137ms,未测速,2605:52c0:2:53c1:be24:11ff:fe9e:94cf,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
154.21.80.68,443,true,138ms,未测速,2605:52c0:2:e88:be24:11ff:fe1d:73fd,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
192.220.28.221,2083,true,138ms,未测速,2a09:bac1:76a0:3d0::1bd:107,IPv6,LAX,US,North America,Los Angeles,AS13335,"Cloudflare, Inc."
179.255.152.217,443,true,138ms,未测速,2605:52c0:1:1ed1:be24:11ff:feee:1e86,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.255.116.227,443,true,138ms,未测速,2605:52c0:2:2bb8:be24:11ff:fec1:8e3f,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
154.17.9.213,443,true,139ms,未测速,2605:52c0:2:1259:be24:11ff:fed7:a71e,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.255.144.153,443,true,139ms,未测速,2605:52c0:1:1c98:be24:11ff:fe53:e49d,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.253.232.20,443,true,139ms,未测速,2605:52c0:2:7cd:be24:11ff:fe96:f332,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.253.249.92,443,true,140ms,未测速,2605:52c0:2:51b6:be24:11ff:feef:f089,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.255.104.124,443,true,140ms,未测速,2605:52c0:2:44bc:be24:11ff:fea7:49ec,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.255.120.110,443,true,140ms,未测速,2605:52c0:2:425f:be24:11ff:fe6d:a63c,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.255.157.52,443,true,141ms,未测速,2605:52c0:1:1fa3:be24:11ff:fe8e:cee9,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
179.255.124.211,443,true,143ms,未测速,2605:52c0:2:55f6:be24:11ff:feb6:7d52,IPv6,SJC,US,North America,San Jose,AS906,DMIT Cloud Services
142.248.218.144,2053,true,147ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.218.221,2053,true,147ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
143.110.231.86,443,true,150ms,未测速,2604:a880:4:1d0:0:2:4634:4000,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
142.248.219.16,2053,true,153ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.219.13,2053,true,153ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.218.245,2053,true,154ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
142.248.218.201,2053,true,155ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
192.129.226.234,2053,true,156ms,未测速,192.129.226.234,IPv4,LAX,US,North America,Los Angeles,AS36352,HostPapa
142.248.219.233,2053,true,156ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.219.105,2053,true,159ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
165.22.130.178,443,true,159ms,未测速,2604:a880:2:d1:0:1:26b6:9001,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
142.248.219.154,2053,true,161ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.218.6,443,true,161ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.218.111,2053,true,162ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
117.55.231.178,443,true,162ms,未测速,117.55.231.178,IPv4,LAX,US,North America,Los Angeles,AS35916,MULTACOM CORPORATION
142.248.218.175,2053,true,162ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
142.248.219.127,2053,true,165ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
129.159.37.136,443,true,165ms,未测速,2603:c024:c00d:b366:2fa3:6c2c:5a4d:4067,IPv6,SJC,US,North America,San Jose,AS31898,Oracle Corporation
31.58.50.114,8443,true,165ms,未测速,31.58.50.114,IPv4,SJC,US,North America,San Jose,AS56971,Cgi Global Limited
142.248.219.222,2053,true,165ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
182.255.85.176,443,true,167ms,未测速,2607:f130:0:16a:216:3eff:feba:c619,IPv6,LAS,US,North America,Las Vegas,AS35916,MULTACOM CORPORATION
142.248.219.175,2053,true,167ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
182.255.95.95,443,true,167ms,未测速,2607:f130:0:162::588c:3a0a,IPv6,LAS,US,North America,Las Vegas,AS35916,MULTACOM CORPORATION
162.243.143.110,443,true,168ms,未测速,2604:a880:1:4a::1104:1000,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
104.168.132.123,443,true,169ms,未测速,2607:5501:3000:868::2,IPv6,SEA,US,North America,Seattle,AS54290,Hostwinds LLC.
68.178.203.190,443,true,171ms,未测速,2603:3:6101:c60::,IPv6,DFW,US,North America,Dallas,AS398101,"GoDaddy.com, LLC"
